eventID,site,habitatType,minimumElevationInMeters,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitude,decimalLongitude,geodeticDatum,occurrenceID,basisOfRecord,occurrenceStatus,individualCount,vernacularName,scientificName,kingdom,phylum,class,order,family,taxonRank
NHSTransect_1_TopRight,Slope B,Heath,210,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,11:08,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,TopRight,55.705247,-5.273034,WGS84,NHSTransect_1_TopRight_Orthotylus_ericetorum,HumanObservation,present,2,Green mirid bug,Orthotylus ericetorum,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,species
NHSTransect_1_TopRight,Slope B,Heath,210,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,11:08,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,TopRight,55.705247,-5.273034,WGS84,NHSTransect_1_TopRight_Diptera,HumanObservation,present,1,Flies,,Animalia,Arthropoda,Insecta,Diptera,,order
NHSTransect_1_TopRight,Slope B,Heath,210,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,11:08,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,TopRight,55.705247,-5.273034,WGS84,NHSTransect_1_TopRight_Hymenoptera,HumanObservation,present,4,Parasitic wasp,,Animalia,Arthropoda,Insecta,Hymenoptera,,order
NHSTransect_1_TopRight,Slope B,Heath,210,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,11:08,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,TopRight,55.705247,-5.273034,WGS84,NHSTransect_1_TopRight_Delphacidae,HumanObservation,present,1,True bug; planthopper,,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,family
NHSTransect_2_TopMiddle,Slope B,Heath,210,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,11:08,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,TopMiddle,55.706811,-5.275617,WGS84,NHSTransect_2_TopMiddle_ ,HumanObservation,present,2,Parasitic wasp,,Animalia,Arthropoda,Insecta,Hymenoptera,,order
NHSTransect_2_TopMiddle,Slope B,Heath,210,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,11:08,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,TopMiddle,55.706811,-5.275617,WGS84,NHSTransect_2_TopMiddle_Delphacidae,HumanObservation,present,1,True bug; planthopper,,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,family
NHSTransect_2_TopMiddle,Slope B,Heath,210,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,11:08,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,TopMiddle,55.706811,-5.275617,WGS84,NHSTransect_2_TopMiddle_Andrena_cineraria,HumanObservation,present,1,Ashy mining bee,Andrena cineraria,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,species
NHSTransect_3_TopLeft,Slope B,Heath,210,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,11:08,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,TopLeft,55.708482,-5.277562,WGS84,NHSTransect_3_TopLeft_ ,HumanObservation,present,9,Parasitic wasp,,Animalia,Arthropoda,Insecta,Hymenoptera,,order
NHSTransect_3_TopLeft,Slope B,Heath,210,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,11:08,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,TopLeft,55.708482,-5.277562,WGS84,NHSTransect_3_TopLeft_Orthotylus ericetorum,HumanObservation,present,6,Green mirid bug,Orthotylus ericetorum,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,species
NHSTransect_4_MiddleLeft,Slope B,Grassland,130,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,13:07,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,MiddleLeft,55.708212,-5.28021,WGS84,NHSTransect_4_MiddleLeft_ ,HumanObservation,present,4,Parasitic wasp,,Animalia,Arthropoda,Insecta,Hymenoptera,,order
NHSTransect_4_MiddleLeft,Slope B,Grassland,130,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,13:07,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,MiddleLeft,55.708212,-5.28021,WGS84,NHSTransect_4_MiddleLeft_Ixodida,HumanObservation,present,20,Ticks,,Animalia,Arthropoda,Arachnida,Ixodida,,order
NHSTransect_5_MiddleMiddle,Slope B,Grassland,130,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,13:07,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,MiddleMiddle,55.705382,-5.277674,WGS84,NHSTransect_5_MiddleMiddle_ ,HumanObservation,present,4,Flies,,Animalia,Arthropoda,Insecta,Diptera,,order
NHSTransect_5_MiddleMiddle,Slope B,Grassland,130,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,13:07,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,MiddleMiddle,55.705382,-5.277674,WGS84,NHSTransect_5_MiddleMiddle_Hymenoptera,HumanObservation,present,20,Parasitoid wasp,,Animalia,Arthropoda,Insecta,Hymenoptera,,order
NHSTransect_5_MiddleMiddle,Slope B,Grassland,130,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,13:07,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,MiddleMiddle,55.705382,-5.277674,WGS84,NHSTransect_5_MiddleMiddle_Lycosidae,HumanObservation,present,1,Wolf spider,,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,family
NHSTransect_6_MiddleRight,Slope B,Grassland,130,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,13:07,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,MiddleRight,55.702283,-5.27356,WGS84,NHSTransect_6_MiddleRight_ ,HumanObservation,present,2,Parasitic wasp,,Animalia,Arthropoda,Insecta,Hymenoptera,,order
NHSTransect_6_MiddleRight,Slope B,Grassland,130,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,13:07,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,MiddleRight,55.702283,-5.27356,WGS84,NHSTransect_6_MiddleRight_Delphacidae,HumanObservation,present,1,True bug; planthopper,,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,family
NHSTransect_7_BottomRight,Slope B,Bracken,70,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,14:45,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,BottomRight,55.701879,-5.270211,WGS84,NHSTransect_7_BottomRight_Araneus_diadematus,HumanObservation,present,1,European garden spider,Araneus diadematus,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,species
NHSTransect_7_BottomRight,Slope B,Bracken,70,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,14:45,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,BottomRight,55.701879,-5.270211,WGS84,NHSTransect_7_BottomRight_Lycosidae,HumanObservation,present,2,Wolf spider,,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,family
NHSTransect_7_BottomRight,Slope B,Bracken,70,Sweep netting,10 sweeps with net taken every other step along 30m transect,30,metre,12/09/2024,14:45,256,"Opportunistic sampling; transects at high, low and middle zones aiming to represent dominant habitat types ",Scotland,GB-SCT,Lochranza,BottomRight,55.701879,-5.270211,WGS84,NHSTransect_7_BottomRight_Forficulidae,HumanObservation,present,1,Earwig,,Animalia,Arthropoda,Insecta,Dermaptera,Forficulidae,family
